Block,X Min,X Max,Y Min,Y Max,Z Min,Z Max
block_0-100,-78,48,889,1077,-147,198
block_50-150,-78,56,889,1077,-147,198
block_100-200,-91,57,879,1079,-144,172
block_150-250,-91,57,879,1079,-144,166
block_200-300,-88,47,895,1060,-161,169
block_250-350,-103,68,899,1065,-161,169
block_300-400,-103,78,889,1065,-139,183
block_350-450,-101,78,889,1059,-155,183
block_400-500,-101,42,890,1058,-168,170
block_450-550,-81,42,890,1079,-168,170
block_500-600,-81,31,902,1079,-150,179
block_550-650,-75,42,897,1060,-150,179
block_600-700,-88,60,891,1086,-137,163
block_650-750,-88,60,891,1086,-137,178
block_700-800,-94,51,838,1062,-144,178
block_750-850,-94,51,838,1050,-144,173
block_800-900,-91,42,860,1078,-124,173
block_850-950,-102,55,860,1078,-149,172
block_900-1000,-102,55,907,1051,-156,164
block_950-1050,-81,45,900,1061,-156,153
block_1000-1100,-104,45,900,1078,-147,153
block_1050-1150,-104,65,890,1078,-142,150
block_1100-1196,-92,65,890,1069,-163,164
